"FieldName","ValidationStatus","ClassName","LineContent","LineNo","FilePath","RepoName"
"transaction.associatedtransaction","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","AssociatedTransaction at = transactionContext.request().transaction().associatedTransaction();","470","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","VALID","MegaJsonToElavonMessageMapper","transactionContext.request().transaction().orderCertainty() != ESTIMATED ) {","475","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.currencycode","VALID","MegaJsonToElavonMessageMapper","String code = transactionContext.request().transaction().currencyCode();","496","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"billingaddress.postcode","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( t.billingAddress().postcode(), getFieldId(), 9, 1 );","542","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"billingaddress.street","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","joinFields( "" "", t.billingAddress(), BillingAddress::street, BillingAddress::city,","544","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"billingaddress.state","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","BillingAddress::state ),","545","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"mobilewallet.onlinepaymentcryptogram","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","StringUtils.substring( t.mobileWallet().onlinePaymentCryptogram(), 0, 32 ) ),","560","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"mobilewallet.onlinepaymentcryptogram","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( t.mobileWallet().onlinePaymentCryptogram(), getFieldId(), 13 );","593","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.paymentrecipientdateofbirth","VALID","MegaJsonToElavonMessageMapper","Transaction::paymentRecipientDateOfBirth,","610","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.paymentrecipientaccountidentifier","VALID","MegaJsonToElavonMessageMapper","Transaction::paymentRecipientAccountIdentifier,","611","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.paymentrecipientpostcodezip","VALID","MegaJsonToElavonMessageMapper","Transaction::paymentRecipientPostcodeZip,","612","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.paymentrecipientlastname","VALID","MegaJsonToElavonMessageMapper","Transaction::paymentRecipientLastName ) ) {","613","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchantcontext.merchant","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","Merchant m = r.merchantContext().merchant();","647","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"merchant.id","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","s -> m.subMerchant(), SubMerchant::id, SubMerchant::tradingName ) ) {","675","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.id","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( m.subMerchant().id(), getFieldId(), 26, 1 );","677","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.categorycode","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( m.subMerchant().categoryCode(), getFieldId(), 26, 2 );","678","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.phone","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( m.subMerchant().phone(), getFieldId(), 26, 3 );","680","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"submerchant.email","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( m.subMerchant().email(), getFieldId(), 26, 4 );","681","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"mobilewallet.onlinepaymentcryptogram","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","if ( t.mobileWallet().onlinePaymentCryptogram() != null","740","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"mobilewallet.onlinepaymentcryptogram","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( t.mobileWallet().onlinePaymentCryptogram(), getFieldId(), 48 );","743","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"ordercustomfields.secureremotecommercescheme","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","&& ""MASTERCARD"".equals( t.orderCustomFields().secureRemoteCommerceScheme() ) ) {","748","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"ordercustomfields.walletpaymentidentifier","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","isoMessage.set( t.orderCustomFields().walletPaymentIdentifier(), getFieldId(), 49 );","749","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.billingaddress","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","return transactionContext.hasAny( r -> r.transaction().billingAddress(), BillingAddress::city,","810","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"billingaddress.postcode","NOT_IN_CONVENTIONS","MegaJsonToElavonMessageMapper","BillingAddress::postcode, BillingAddress::state, BillingAddress::street );","811","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.transactionsforthisorder","VALID","MegaJsonToElavonMessageMapper","r.transaction().transactionsForThisOrder( 0 ).transaction() ), getFieldId(), 30 );","830","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"","EMPTY","MegaJsonToElavonMessageMapper","final Set<Merchant.SupportedEMV3DSSchemes> supportedEMV3DSSchemes = new HashSet<>();","1079","/c/Users/e135408/IdeaProjects/MODERNIZATION/acqelavons2aservice/acqElavonS2AService/src/main/java/com/mastercard/gateway/acquiring/elavon/mapping/MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
