"FieldName","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"transaction.cardtype.vc","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","277","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","278","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","292","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","293","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype.vc","ElavonResponseToMegaJsonMapper","Transaction","&& EnumSet.of( Transaction.CardType.VC, Transaction.CardType.VD )","307","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction.cardtype","ElavonResponseToMegaJsonMapper","Transaction",".contains( i.getTransactionRequest().transaction().cardType() ) ) {","308","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.transactionreceipt","ElavonResponseToMegaJsonMapper","TransactionResponse",".ifPresent( result -> response.transactionResponse().transactionReceipt( result ) );","321","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode.equalsignorecase","ElavonResponseToMegaJsonMapper","TransactionResponse","if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""79"" ) ) {","336","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode.equalsignorecase","ElavonResponseToMegaJsonMapper","TransactionResponse","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""82"" ) ) {","340","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponsecode.equalsignorecase","ElavonResponseToMegaJsonMapper","TransactionResponse","else if ( response.transactionResponse().acquirerResponseCode().equalsIgnoreCase( ""83"" ) ) {","344","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
